generated_at,ticker,company,event_date,event_title,source_type,source_url,reaction_status,base_date,base_close,benchmark_base_date,after_1d_date,return_1d_pct,nikkei_1d_pct,excess_1d_pct,after_5d_date,return_5d_pct,nikkei_5d_pct,excess_5d_pct,after_20d_date,return_20d_pct,nikkei_20d_pct,excess_20d_pct,reaction_score
2026/05/27 11:35,2802.T,味の素,2026-05-07,2026年3月期決算,手動フォールバック,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf,暫定: 20営業日未到達,2026-05-07,4958,2026-05-07,2026-05-08,1.45,-0.19,1.64,2026-05-14,11.78,-0.29,12.07,,,,,65.8
2026/05/27 11:35,6762.T,TDK,2026-04-28,2026年3月期決算,手動フォールバック,https://www.tdk.com/ja/ir/ir_events/conference/2026/4q_1.html,暫定: 20営業日未到達,2026-04-28,2677,2026-04-28,2026-04-30,7.98,-1.06,9.03,2026-05-11,9.68,4.17,5.5,,,,,63.8
2026/05/27 11:35,6146.T,ディスコ,2026-04-24,2026年3月期決算,手動フォールバック,https://www.disco.co.jp/jp/ir/,暫定: 20営業日未到達,2026-04-24,71700,2026-04-24,2026-04-27,6.04,1.38,4.66,2026-05-07,6.82,5.22,1.6,,,,,55.6
2026/05/27 11:35,7011.T,三菱重工業,,,未取得,,決算日未取得,,,,,,,,,,,,,,,,
2026/05/27 11:35,8053.T,住友商事,,,未取得,,決算日未取得,,,,,,,,,,,,,,,,
2026/05/27 11:35,9984.T,ソフトバンクG,2026-05-11,2026年3月期決算,手動フォールバック,https://group.softbank/ir,暫定: 20営業日未到達,2026-05-11,5743,2026-05-11,2026-05-12,4.25,0.52,3.73,2026-05-18,-2.61,-2.57,-0.05,,,,,52.9
2026/05/27 11:35,8316.T,三井住友FG,2026-05-13,2026年3月期決算,手動フォールバック,https://www.smfg.co.jp/investor/,暫定: 20営業日未到達,2026-05-13,5852,2026-05-13,2026-05-14,-3.02,-0.98,-2.05,2026-05-20,0.51,-5.48,5.99,,,,,55.5
2026/05/27 11:35,8306.T,三菱UFJ FG,2026-05-15,2026年3月期決算,手動フォールバック,https://www.mufg.jp/ir/,暫定: 20営業日未到達,2026-05-15,2929,2026-05-15,2026-05-18,2.25,-0.97,3.22,2026-05-22,5.53,3.14,2.39,,,,,55.4
2026/05/27 11:35,7735.T,SCREEN HD,,,未取得,,決算日未取得,,,,,,,,,,,,,,,,
2026/05/27 11:35,7173.T,東京きらぼしFG,,,未取得,,決算日未取得,,,,,,,,,,,,,,,,
